rating,problem_rating,submissions,volatility,success_rate,new_rating
2839,3570,1,95,0.55,2818
2365,2646,7,132,0.61,2250
3812,2242,6,138,0.43,3779
654,3357,8,82,0.63,506
3773,3804,2,116,0.19,3745
886,649,10,73,0.0,444
2216,1850,2,183,0.49,2328
3335,1277,1,150,0.44,3457
1931,3150,8,130,0.91,1895
755,2217,4,111,0.77,709
3387,3662,5,65,0.87,3366
1559,1407,10,196,0.57,1482
2532,1524,8,99,0.19,2307
3420,2348,3,142,0.11,3428
778,2761,10,76,0.16,358
2584,1792,5,122,0.85,2667
2207,1370,7,60,0.75,2179
3411,3733,5,173,0.48,3304
1721,2539,9,63,0.5,1497
1340,1718,2,140,0.94,1348
2058,3430,5,137,0.65,1971
833,1541,2,139,0.09,744
2226,899,6,193,0.88,2383
3939,1966,8,92,0.53,3843
622,1963,8,89,0.53,434
964,3237,3,121,0.17,840
1281,1141,6,92,0.92,1321
2905,1128,7,156,0.68,2949
1810,545,1,118,0.16,1886
1747,1532,10,108,0.98,1821
2407,3346,5,100,0.32,2237
2416,2657,3,105,0.22,2320
2036,1286,9,82,0.6,1937
1313,2372,9,99,0.93,1282
700,2082,7,194,0.51,529
3771,2891,10,88,0.65,3683
1409,1868,1,91,0.8,1405
2383,748,10,91,0.51,2229
734,1840,3,108,0.43,649
1223,1924,3,99,0.14,1096
1379,2371,8,170,0.42,1148
2135,3380,8,67,0.67,2003
1409,750,7,117,0.26,1264
2946,1758,7,123,0.66,2950
2438,3086,6,88,0.93,2419
1281,2864,6,91,0.62,1167
3814,3525,2,99,0.01,3798
1219,3250,3,154,0.09,1083
1127,2034,9,142,0.43,871
2662,2802,4,119,0.82,2663
3138,3871,1,170,0.76,3128
1469,2651,9,146,0.82,1388
1809,1967,6,113,0.65,1736
2242,2511,5,117,0.65,2175
1216,3398,3,76,0.19,1095
2628,2577,6,52,0.61,2541
2486,2987,3,78,0.84,2466
3477,3037,4,157,0.03,3428
2399,2031,3,136,0.73,2480
3271,2981,7,150,0.82,3334
3956,625,6,58,0.12,3750
2962,2499,10,167,0.66,2948
2023,1373,9,99,0.19,1755
1937,975,8,158,0.72,1982
1597,2889,3,71,0.75,1560
1703,1643,2,185,0.14,1725
635,3015,10,154,0.53,400
2354,2532,7,151,0.61,2257
967,3947,4,171,0.59,885
1464,3809,9,168,1.0,1464
2777,3240,7,164,0.31,2546
1484,825,2,193,0.43,1616
3692,1393,7,128,0.64,3694
2834,1267,2,192,0.55,2981
3630,3885,1,72,0.99,3643
607,3906,1,68,0.66,590
2503,505,7,101,0.8,2534
2634,1032,2,132,0.21,2687
609,2649,7,192,0.7,504
1901,3191,10,120,0.31,1556
2296,3854,6,192,0.91,2269
1474,2698,6,120,0.35,1279
3393,1074,2,50,0.15,3358
2401,3964,6,80,0.99,2398
1446,2623,8,127,0.43,1218
3105,3312,8,81,0.52,2932
1032,1958,5,177,0.51,910
604,2788,6,86,0.08,328
504,1519,6,195,0.96,493
2073,2088,4,90,0.86,2088
3018,2301,8,199,0.55,3034
926,1198,5,67,0.99,935
2577,3084,5,69,0.13,2363
2123,733,7,119,0.98,2235
3782,893,7,182,0.94,3943
3991,2415,5,179,0.36,4010
1419,1938,3,145,0.83,1400
1760,1828,7,130,0.2,1532
2162,3354,1,150,0.7,2147
3477,3409,2,153,0.18,3486
1841,3082,10,140,0.71,1696
2968,3479,5,50,0.89,2943
1063,2918,3,72,0.73,1023
1555,1092,8,72,0.44,1398
3147,3641,5,169,0.18,2951
684,2521,6,102,0.54,546
3227,3325,6,121,0.5,3121
631,3581,4,185,0.23,477
2336,2639,5,51,0.26,2159
1309,3409,9,109,0.53,1098
1107,1411,2,190,0.41,1076
502,2267,1,113,1.0,502
3476,2308,10,123,0.27,3234
1301,3862,2,69,0.45,1246
3763,1886,7,141,0.98,3897
2856,1145,9,51,0.6,2727
3014,620,1,57,0.0,3021
1101,520,1,72,0.9,1166
1410,2577,5,79,0.6,1310
1777,2827,8,56,0.81,1701
2843,1397,5,51,0.71,2821
3323,3510,4,53,0.72,3280
1338,2754,5,84,0.47,1206
1680,1567,9,114,0.77,1651
2418,2510,3,157,0.5,2401
1308,912,7,181,0.36,1248
3278,3111,8,99,0.81,3274
593,1627,5,82,0.38,438
1846,1714,4,130,0.16,1767
2812,2461,10,53,0.77,2744
3033,647,8,93,0.22,2814
1150,2295,7,51,0.36,926
2905,3192,10,184,0.47,2670
803,1134,6,73,0.59,689
3962,926,9,152,0.51,3893
2720,1279,4,152,0.4,2752
1355,3018,10,132,0.69,1200
1953,1451,1,198,0.82,2132
3114,3597,2,95,0.06,3026
1227,698,6,117,0.7,1249
1328,2040,1,88,0.28,1293
1612,2985,6,160,0.78,1546
826,1296,9,54,0.7,694
1611,2878,2,122,0.94,1605
3102,3225,3,80,0.68,3080
2945,3665,2,64,0.19,2865
999,2348,5,91,0.62,904
1598,1366,1,125,0.21,1657
2931,2667,5,76,0.21,2796
1085,1476,9,118,0.38,817
2157,1010,10,117,0.95,2249
1385,2474,1,124,0.61,1366
3186,3611,8,153,0.21,2882
1092,1875,9,121,0.91,1053
879,662,7,52,0.07,594
3746,2004,8,195,0.86,3885
3274,3281,5,122,0.2,3134
1258,3394,4,175,0.47,1152
865,3372,7,76,0.02,522
2867,3633,6,74,0.16,2616
1659,762,2,134,0.34,1726
3563,2674,3,143,0.78,3672
1687,1525,1,133,0.41,1753
2714,1782,7,114,0.52,2659
2372,911,3,103,0.0,2325
535,2888,5,96,0.69,458
3806,948,9,170,0.49,3746
1019,2405,2,59,0.1,929
3652,1521,3,155,0.84,3783
732,1626,1,144,0.32,699
3582,715,7,78,0.66,3541
500,3178,4,151,0.86,472
2986,3503,4,84,0.45,2880
1524,3825,8,99,0.04,1140
2087,2945,4,89,0.95,2078
3052,842,1,52,0.52,3080
1209,3696,7,163,0.21,933
3447,1489,5,66,0.38,3358
2718,744,2,91,0.11,2720
2226,1221,5,191,0.59,2314
1580,3672,4,62,0.24,1428
2696,2066,6,126,0.42,2645
2910,2365,3,71,0.26,2867
1190,634,4,173,0.96,1348
3630,3752,8,147,0.66,3543
1931,899,5,79,0.0,1760
2589,3557,9,108,0.18,2220
2885,3501,1,62,0.48,2861
3251,2925,5,129,0.66,3278
2175,2909,8,59,0.05,1796
1739,3376,1,103,0.92,1735
3789,3781,2,132,0.24,3781
3978,907,7,98,0.95,4058
1009,1362,10,181,0.83,945
2251,1257,2,112,0.97,2360
586,3208,7,187,0.32,348
3455,2166,7,91,0.22,3273
2251,3675,5,116,0.32,2081
3399,886,2,81,0.41,3421
3627,2143,6,156,0.71,3696
2902,2343,3,72,0.12,2839
3675,2058,1,182,0.27,3820
1275,3851,9,53,0.29,956
1858,1472,10,103,0.58,1741
1053,1670,4,130,0.58,973
2854,3481,3,170,0.08,2720
3510,1643,2,156,1.0,3666
3757,3776,5,121,0.97,3807
1904,1313,3,186,0.31,1981
2927,1348,4,151,0.33,2944
2464,1975,8,173,0.22,2315
1910,3451,4,175,0.14,1738
3278,2963,5,156,0.26,3227
701,1340,8,116,0.2,384
2615,2563,2,60,0.36,2585
1570,728,9,168,0.45,1489
3521,3889,4,93,0.75,3481
1356,3391,4,196,0.68,1292
533,1879,7,114,0.93,509
2143,2832,2,176,0.01,2047
3505,523,3,54,0.74,3520
1770,2676,1,87,0.99,1770
2425,3835,2,171,0.54,2379
1649,1244,9,73,0.65,1558
644,905,10,76,0.3,308
3812,3987,6,55,0.17,3578
3707,3688,3,93,0.68,3708
2771,1382,5,78,0.48,2719
3712,1379,3,93,0.39,3713
3822,1119,9,61,0.59,3698
3021,3972,1,95,0.05,2974
1676,2330,4,141,0.36,1551
1574,3187,7,164,0.38,1357
2334,2736,8,181,0.21,2034
3387,1811,10,57,0.74,3314
2878,786,1,91,0.52,2945
1448,2135,5,93,0.35,1287
3573,1441,10,113,0.19,3281
3666,3769,2,76,0.45,3638
3919,3334,4,127,0.08,3858
870,3235,5,145,0.59,768
1517,2372,1,71,0.26,1481
2650,3156,7,166,0.77,2578
2062,2226,10,178,0.19,1707
2415,2712,3,176,0.23,2326
1696,1597,3,111,0.73,1726
3850,1383,9,146,0.64,3834
3674,3373,3,168,0.91,3803
891,2989,3,120,0.22,774
1836,1678,7,170,0.43,1758
3678,1954,1,64,0.14,3699
2736,2898,3,54,0.69,2705
994,1858,10,68,0.75,869
2171,1387,9,67,0.99,2233
3021,2271,3,156,0.72,3133
2224,1485,4,138,0.64,2288
3180,3074,1,154,0.31,3245
1535,1996,8,111,0.12,1190
2835,2891,10,66,0.94,2833
3959,1377,2,66,0.52,3977
2134,1277,5,120,0.83,2211
1325,3269,6,105,0.45,1160
535,1985,4,127,0.09,353
2044,3302,7,160,0.73,1950
728,3440,9,173,0.79,634
2110,1929,5,113,0.81,2146
908,1995,9,189,0.97,895
2177,579,9,146,0.8,2233
2117,1188,2,166,0.45,2227
2096,1481,1,65,0.36,2127
2069,3069,6,118,0.16,1817
2765,1139,9,66,0.39,2556
1713,1923,7,163,0.16,1456
769,1402,8,160,0.88,725
2817,1002,1,118,0.95,2932
3577,3524,3,85,0.0,3476
1577,751,4,74,0.38,1526
3239,2417,1,118,0.07,3309
3780,3448,8,162,0.7,3801
1177,3154,3,178,0.67,1128
1651,2550,8,145,0.6,1492
3655,1328,7,90,0.02,3402
2169,2090,9,133,0.1,1845
3514,3947,9,82,0.95,3498
3023,3632,7,89,0.44,2830
1086,1004,10,166,0.6,988
3895,2011,5,114,0.93,3991
2963,3148,2,193,0.49,2961
2796,3493,3,96,0.79,2766
842,3389,4,144,0.14,670
2666,3492,6,97,0.56,2535
3208,2451,8,135,0.39,3097
3846,2475,9,164,0.03,3573
3899,1953,6,177,0.44,3908
3707,3431,9,165,0.38,3565
3827,3692,6,178,0.29,3736
3169,2438,3,51,0.29,3113
792,3431,5,115,0.74,727
3009,2711,5,179,0.27,2978
922,785,6,191,0.14,795
2165,2411,2,182,0.51,2152
3528,3930,10,191,0.87,3480
1864,3951,5,147,0.26,1679
2674,3655,9,96,0.9,2629
2878,2264,10,113,0.84,2908
3853,1022,4,101,0.55,3864
2944,1920,4,195,0.73,3084
2331,1410,6,123,0.28,2237
3173,3732,1,74,0.51,3151
2270,3154,8,149,0.26,1975
2439,2119,6,183,0.72,2513
3386,3391,5,156,0.76,3403
1993,3892,10,111,0.4,1693
3075,1973,7,105,0.29,2931
559,3677,2,185,0.39,498
899,2721,6,197,0.92,875
2936,1502,1,157,0.94,3090
1917,2023,6,116,0.72,1874
3158,627,6,176,0.69,3241
1102,1765,4,80,0.07,918
3195,1077,7,87,0.64,3156
2922,769,1,165,0.22,3048
1364,1264,8,60,0.09,1038
675,1109,1,199,0.85,683
2997,3667,10,194,0.98,2991
818,3454,2,52,0.65,783
3494,1812,9,90,0.04,3152
2906,3367,10,200,0.55,2694
2407,3355,8,99,0.25,2107
3500,3180,3,92,0.71,3536
3404,3459,10,78,0.98,3427
1848,626,4,80,0.59,1846
1823,1524,2,69,0.74,1856
3696,3883,1,55,0.44,3682
1997,1097,2,120,0.6,2076
1715,1210,8,94,0.21,1488
3796,1061,3,95,0.41,3802
1368,2127,3,140,0.14,1241
2775,2001,5,58,0.71,2760
2863,2141,2,66,0.72,2900
1433,2581,10,176,0.49,1178
1681,1640,7,190,0.07,1462
3153,987,5,93,0.79,3193
3174,1594,4,114,0.82,3252
2492,2990,4,131,0.69,2437
3852,1900,8,180,0.47,3820
1428,2092,7,158,0.16,1137
1538,581,4,88,0.83,1592
2499,2550,5,138,0.13,2340
545,3892,8,114,0.5,345
2217,2480,6,110,0.75,2162
1028,2902,9,181,0.02,587
3275,1106,4,154,0.45,3319
2797,1445,8,76,0.26,2577
2721,1259,6,194,0.42,2741
813,3794,9,184,0.12,417
2584,1448,3,55,0.31,2535
1262,3306,5,79,0.44,1122
2747,2313,4,156,0.8,2851
680,2856,9,98,0.46,437
1956,1435,8,137,0.12,1734
2019,3236,4,117,0.85,1989
3635,2883,7,99,0.14,3432
2168,2262,10,175,0.61,2037
3354,948,6,184,0.01,3241
901,3063,6,139,0.92,877
2754,3372,2,154,0.25,2683
1306,916,8,197,0.34,1220
763,3940,4,99,0.01,565
644,1859,5,192,0.68,564
2766,2402,10,150,0.97,2885
1771,3074,1,102,0.79,1761
585,1719,7,103,0.62,452
1777,3081,7,142,0.11,1466
3115,1109,6,109,0.88,3188
2898,815,3,178,0.88,3058
1520,1793,6,144,0.64,1437
659,905,6,127,0.28,468
1238,3759,4,101,0.92,1222
1699,1729,3,138,0.64,1708
1459,1865,10,120,0.27,1105
1917,2681,3,76,0.71,1874
622,580,4,159,0.62,635
2392,2829,8,97,0.3,2119
3023,3210,5,176,0.25,2880
813,789,9,71,0.72,725
3608,1046,3,162,0.2,3650
1428,1541,3,133,0.14,1345
3033,3950,9,81,0.35,2741
3653,2755,4,53,0.37,3580
3941,2125,5,124,0.35,3902
3337,585,9,132,0.21,3113
1411,2973,1,165,0.75,1399
2503,988,6,92,0.79,2532
2642,3846,10,138,0.5,2392
2329,1028,7,165,1.0,2494
3179,731,2,80,0.89,3248
1503,3219,7,104,0.91,1472
2906,3550,8,71,0.67,2776
3165,1425,5,61,0.07,2993
998,3320,4,123,0.57,912
2608,1361,5,116,0.13,2506
2956,3096,10,183,0.94,2983
2629,3930,8,175,0.64,2485
1607,2275,6,173,0.45,1446
650,2333,7,94,0.64,524
726,1849,9,166,0.79,632
2380,1945,3,174,0.78,2508
1767,2296,8,121,0.28,1484
2465,3399,3,121,0.86,2445
965,3576,7,124,0.65,843
3487,1881,10,90,0.67,3412
644,1325,4,91,0.49,544
2203,2038,10,140,0.66,2134
3843,3872,3,97,0.88,3869
3012,2055,10,76,0.65,2913
2787,3137,4,57,0.65,2724
2693,2547,10,158,0.37,2488
3544,674,10,77,0.56,3401
1215,2641,5,183,0.63,1123
1199,640,9,61,0.15,875
2689,2730,8,139,0.77,2658
2327,2796,9,170,0.93,2306
3717,1259,3,124,0.17,3716
1508,888,4,56,0.4,1442
3152,1294,1,59,0.42,3182
3325,3716,9,133,0.82,3257
2857,2889,3,132,0.1,2782
3601,1174,3,112,0.47,3633
1746,1913,5,81,0.39,1616
3076,2885,2,101,0.94,3146
1321,2397,3,109,0.24,1207
1600,3028,4,118,0.92,1584
1303,1146,8,122,0.72,1278
837,3148,1,191,0.52,813
2545,2979,3,79,0.72,2509
1848,2253,8,184,0.71,1748
3742,3623,5,149,0.42,3696
3467,825,4,100,0.18,3403
1500,3208,10,125,0.2,1100
2316,2165,4,180,0.72,2387
1805,1733,2,118,0.62,1838
2853,2322,2,106,0.67,2921
2761,3586,3,121,0.91,2749
1758,2707,6,127,0.89,1726
3881,891,9,123,0.3,3689
2687,2650,5,54,0.23,2524
2080,1140,7,114,0.42,1990
2551,2413,4,165,0.57,2579
2992,1747,10,188,0.1,2730
1724,611,3,50,0.63,1718
3863,3008,5,199,0.82,4016
2232,3541,4,70,0.54,2140
2428,1850,4,154,0.94,2565
505,1094,2,176,0.3,441
758,2093,9,106,0.44,506
2512,1040,5,131,0.28,2463
2978,3649,8,59,0.88,2931
2451,3792,10,89,0.94,2421
3149,989,6,193,0.75,3267
933,1444,9,75,0.41,671
3396,719,2,102,0.97,3495
3843,983,6,182,0.26,3803
3031,1848,3,72,0.05,2960
3707,3293,4,143,0.41,3720
2235,2284,10,131,0.07,1826
2160,644,9,186,0.91,2305
1482,1335,4,193,0.98,1613
594,3519,8,76,0.23,286
2983,3670,9,66,0.16,2606
1638,1036,3,178,0.28,1703
2923,1615,5,106,0.21,2831
2796,3229,4,196,0.78,2767
1672,786,9,135,0.72,1680
2103,2710,9,75,0.62,1934
1292,2220,3,162,0.95,1285
1875,1752,4,82,0.07,1744
2759,3706,9,113,0.81,2674
3378,2617,2,65,0.97,3439
2424,1339,3,117,0.68,2493
3250,802,6,175,0.35,3230
1184,1654,5,185,0.23,1003
1463,2352,6,100,0.33,1263
2528,3293,9,85,0.73,2408
1909,1025,4,109,0.34,1885
2616,1505,9,57,0.43,2416
1852,2242,5,166,0.37,1710
1923,3091,4,185,0.09,1741
3104,3550,8,186,0.41,2881
1694,1429,2,79,0.68,1727
1977,3432,8,131,0.92,1945
2181,3486,8,113,0.75,2081
3966,1448,8,178,0.43,3916
3507,2254,9,142,0.55,3446
850,2287,4,81,0.08,666
1452,1692,2,111,0.57,1431
3374,1656,4,120,0.34,3362
3075,1016,10,99,0.12,2734
1505,2126,4,159,0.19,1347
3468,2995,10,82,0.08,3085
3156,2709,2,120,0.37,3204
814,2121,1,110,0.8,804
1483,1154,6,172,0.57,1504
1885,3942,3,158,0.96,1879
3664,860,2,148,0.91,3803
2271,1130,9,70,0.5,2116
1180,2241,1,192,0.39,1150
2001,2728,10,71,0.96,1982
3658,3556,6,186,0.94,3760
1645,1748,2,194,0.42,1656
3655,877,8,96,0.52,3559
1526,3737,10,200,0.46,1256
2664,3066,1,116,0.57,2653
3735,2600,7,177,0.93,3887
3923,1044,6,126,0.54,3911
2738,2039,1,155,0.4,2860
2087,3570,3,98,0.12,1955
1519,578,7,103,0.54,1461
697,3396,3,186,0.96,691
2904,2362,2,91,0.98,2989
1230,1035,9,164,1.0,1354
1280,1510,3,116,0.48,1226
1395,2293,8,164,0.81,1320
2668,1832,3,66,0.32,2631
804,3955,1,55,0.83,796
2753,2704,2,122,0.81,2804
3697,3061,7,169,0.75,3774
3067,2891,2,84,0.26,3055
3671,2874,6,132,0.11,3535
1513,1462,1,177,0.1,1569
3530,2687,4,81,0.11,3432
1053,3508,10,160,0.77,938
3584,2079,6,174,0.08,3482
3524,3831,5,78,0.22,3340
3314,2808,6,159,0.46,3303
1507,1381,1,93,0.99,1569
929,782,2,161,0.47,989
2261,2656,8,140,0.98,2266
1310,2446,5,143,0.91,1288
3856,819,1,65,0.14,3878
2120,563,7,59,0.54,2018
753,2560,1,198,0.96,751
1106,3817,6,138,0.51,959
1103,3936,3,111,0.68,1055
538,3448,7,185,0.68,426
563,3440,1,73,0.97,562
2486,3982,2,96,0.41,2427
1010,750,5,124,0.15,899
1234,2075,6,77,0.05,950
3755,779,4,135,0.82,3854
1337,1907,10,122,0.16,921
1524,2234,1,85,0.41,1496
584,3203,4,106,0.85,554
789,1885,3,53,0.28,681
3217,1546,2,118,0.66,3301
2532,2238,10,93,0.67,2446
2867,2486,10,68,0.8,2828
1361,3818,3,123,0.51,1288
2547,3075,5,183,0.73,2488
3268,2905,10,72,0.37,3017
2120,2435,7,139,0.5,1964
1992,2725,2,188,0.35,1930
1199,3139,9,165,0.75,1087
2175,1107,6,144,0.44,2151
2777,1100,4,129,0.7,2846
1949,2780,3,127,0.79,1919
1064,892,2,129,0.03,1061
2733,3170,6,162,0.79,2682
2252,768,1,183,0.74,2422
2650,3392,1,59,0.58,2630
2233,3643,1,193,0.73,2220
1285,516,9,152,0.84,1363
569,2073,3,84,0.41,481
2235,3132,3,73,0.36,2139
2870,1892,6,115,0.21,2748
3299,891,8,136,0.25,3135
2475,1003,6,100,0.14,2317
3102,2968,4,133,0.09,3011
575,1705,4,51,0.93,561
1309,3766,10,93,0.46,1039
2230,3740,2,134,0.61,2191
3666,1558,6,163,0.8,3769
1586,1174,7,152,0.73,1631
1875,792,8,157,0.57,1860
2033,1534,10,62,0.02,1602
749,2598,9,122,0.23,403
671,3168,10,59,0.51,426
769,3690,6,54,0.89,736
2715,2810,4,167,0.57,2690
3482,1784,5,161,0.0,3393
3591,2778,9,58,0.89,3599
741,3406,1,183,0.28,705
3325,3963,9,110,0.69,3188
3848,1651,3,90,0.79,3906
3064,1256,10,199,0.24,2883
2710,1662,1,159,0.5,2844
2769,3786,6,81,0.65,2664
2254,2291,1,63,0.12,2238
1043,3738,5,200,0.87,1011
1144,2592,4,161,0.59,1062
3069,3932,6,145,0.77,3001
1440,782,1,115,0.5,1527
3522,3951,7,176,0.3,3291
3909,1761,2,128,0.94,4031
2233,992,4,73,0.2,2146
2578,1694,1,74,0.41,2622
1804,593,10,113,0.78,1807
3991,3412,6,168,0.67,4054
3392,3673,10,124,0.02,2923
796,1075,7,181,0.01,480
1670,3723,9,52,0.12,1274
1449,3359,3,114,0.0,1299
2274,1248,2,192,0.06,2371
2487,2392,5,178,0.8,2550
598,2931,5,194,0.03,356
1796,811,7,137,0.49,1754
2166,2832,8,127,0.71,2053
751,1789,1,94,0.59,731
1083,3701,3,151,0.6,1023
3350,2696,10,101,0.0,2949
817,3366,8,111,0.94,793
3172,3312,2,87,0.46,3145
3155,3366,9,132,0.69,3046
3353,2721,3,83,0.27,3324
1017,3296,3,50,0.1,882
3357,1410,4,62,0.8,3379
2196,2994,7,94,0.56,2043
994,3682,5,57,0.05,757
1642,579,6,200,0.44,1674
2205,1566,4,186,0.58,2302
1666,2941,1,160,0.23,1628
1445,1987,10,123,0.95,1425
697,2344,2,188,0.53,650
3817,1075,9,129,0.56,3748
2105,2911,5,116,0.37,1949
2288,2322,1,85,0.44,2298
2677,3978,2,144,0.4,2617
2130,3031,2,125,0.31,2062
624,3032,4,103,0.04,432
961,746,4,173,0.73,1041
3214,2790,5,90,1.0,3297
1163,3811,2,118,0.42,1105
3406,2080,6,61,0.46,3305
2445,943,4,153,0.77,2552
2145,2007,4,50,0.75,2129
3294,2193,9,189,0.39,3208
1585,2052,2,55,0.4,1529
559,2545,9,88,0.39,285
1801,983,1,125,0.52,1901
1562,3315,4,137,0.56,1474
3614,1843,9,184,0.5,3573
3382,2263,1,100,0.42,3453
1000,2251,2,120,0.05,905
1299,3762,5,105,1.0,1299
1458,2451,9,87,0.19,1094
2448,2806,3,152,0.43,2380
1389,3370,9,52,0.99,1385
2979,3009,4,68,0.43,2896
1745,1156,2,165,0.07,1812
702,3584,1,102,0.09,657
1223,3046,9,122,0.92,1187
2928,1886,1,105,0.2,2993
3853,3090,4,179,0.22,3874
521,1628,3,63,0.96,515
2983,1700,1,93,0.03,3027
1901,1210,4,176,0.44,1962
3520,3146,2,62,0.11,3487
3418,1393,8,147,0.79,3481
1531,1793,3,176,0.87,1543
972,537,6,138,0.94,1082
852,2706,2,88,0.52,804
734,2437,6,134,0.31,527
1593,3397,7,134,0.67,1478
2936,823,10,146,0.78,2972
2740,2294,8,121,0.67,2720
548,563,9,189,0.86,575
3700,1119,9,119,0.85,3751
799,594,10,140,0.21,511
1740,3047,9,102,0.13,1349
1296,1840,5,195,0.26,1119
2441,3421,8,191,0.58,2274
830,1430,1,159,0.36,803
701,3720,3,146,0.84,677
2569,2328,6,100,0.04,2361
1909,1266,1,183,0.14,2045
