Easy (A1 words):
The baby giggles while playing with a colorful ball. (missing word: ball, level: easy, suggested image prompt: a baby playing with a ball)
The archaeologist meticulously uncovers ancient artifacts with a delicate chisel. (missing word: chisel, level: hard, suggested image prompt: an archaeologist delicately using a chisel to excavate artifacts)
The chemist synthesizes intricate compounds in the controlled laboratory. (missing word: laboratory, level: hard, suggested image prompt: a chemist working in a laboratory setting)
The geologist analyzes rock formations with a powerful spectrometer. (missing word: spectrometer, level: hard, suggested image prompt: a geologist studying rocks using a spectrometer)
The metallurgist examines metal alloys under a high-resolution microscope. (missing word: microscope, level: hard, suggested image prompt: a metallurgist examining metal alloys under a microscope)
The entomologist studies insect behavior using an advanced microcamera. (missing word: microcamera, level: hard, suggested image prompt: an entomologist monitoring insect behavior with a microcamera)
The surgeon carefully operates on the patient's artery. (missing word: artery, level: hard, suggested image prompt: a surgeon performing surgery on a patient's artery)
The astronomer observes distant galaxies through the powerful telescope. (missing word: telescope, level: hard, suggested image prompt: an astronomer looking through a telescope at stars)
The diver explores the coral reef with an oxygen tank. (missing word: tank, level: hard, suggested image prompt: a diver underwater with an oxygen tank)
The pilot navigates the airplane using the precise instrumentation. (missing word: instrumentation, level: hard, suggested image prompt: a pilot using cockpit instrumentation to navigate)
The detective collects evidence with a forensic kit. (missing word: kit, level: hard, suggested image prompt: a detective gathering evidence with a forensic kit)
The climber scales the mountain with proper equipment. (missing word: equipment, level: hard, suggested image prompt: a climber using specialized equipment to scale a mountain)
The photographer captures images with a professional camera. (missing word: camera, level: hard, suggested image prompt: a photographer using a professional camera)
The engineer designs intricate circuitry on a silicon wafer. (missing word: wafer, level: hard, suggested image prompt: an engineer working with a silicon wafer in a cleanroom)
The botanist studies plant cells under the high-resolution microscope. (missing word: microscope, level: hard, suggested image prompt: a botanist examining plant cells under a microscope)
The physicist conducts experiments in a controlled laboratory setting. (missing word: laboratory, level: hard, suggested image prompt: a physicist working in a laboratory)



Super (C2 words):
The astrophysicist investigates cosmic phenomena with a state-of-the-art magnetohydrodynamic. (missing word: magnetohydrodynamic, level: super, suggested image prompt: an astrophysicist conducting experiments with a magnetohydrodynamic device)
The geneticist manipulates DNA sequences using cutting-edge nanomanipulator. (missing word: nanomanipulator, level: super, suggested image prompt: a geneticist using advanced nanomanipulator technology)
The paleontologist excavates dinosaur fossils from deep within the metamorphic. (missing word: metamorphic, level: super, suggested image prompt: a paleontologist working in layers of metamorphic rock, digging for dinosaur fossils)
The quantum physicist conducts experiments in a controlled superconducting environment. (missing word: superconducting, level: super, suggested image prompt: a physicist conducting experiments in a superconducting environment)
The neuroscientist investigates brain function using groundbreaking optogenetics technology. (missing word: optogenetics, level: super, suggested image prompt: a neuroscientist utilizing optogenetics technology for brain research)
The astrophysicist studies the properties of black holes in distant galaxies. (missing word: black, level: super, suggested image prompt: an astrophysicist researching black holes)
The neuroscientist explores the brain's intricate connectome. (missing word: connectome, level: super, suggested image prompt: a neuroscientist studying the brain's connectome)
The roboticist develops robots with advanced AI capabilities. (missing word: AI, level: super, suggested image prompt: a roboticist working on AI-powered robots)
The physicist investigates the behavior of quantum particles in a controlled environment. (missing word: quantum, level: super, suggested image prompt: a physicist studying quantum particles)
The geneticist manipulates DNA using CRISPR technology. (missing word: CRISPR, level: super, suggested image prompt: a geneticist using CRISPR)
The astrophysicist analyzes data from the cosmic microwave background radiation. (missing word: cosmic, level: super, suggested image prompt: an astrophysicist researching cosmic microwave background)
The nanotechnologist engineers materials with precise nanoscale control. (missing word: nanoscale, level: super, suggested image prompt: a scientist working with nanoscale materials)
